author,article
"Tanja M. Gruschke","The Impact of Lessons-Learned Sessions on Effort Estimation and Uncertainty Assessments"
"Sebastian Uchitel","Synthesis of Partial Behavior Models from Properties and Scenarios"
"Greg Brunet","Synthesis of Partial Behavior Models from Properties and Scenarios"
"Marsha Chechik","Synthesis of Partial Behavior Models from Properties and Scenarios"
"Bente C.D. Anda","Variability and Reproducibility in Software Engineering: A Study of Four Companies that Developed the Same System"
"Dag I.K. Sjøberg","Variability and Reproducibility in Software Engineering: A Study of Four Companies that Developed the Same System"
"Audris Mockus","Variability and Reproducibility in Software Engineering: A Study of Four Companies that Developed the Same System"
"Mika V. Mäntylä","What Types of Defects Are Really Discovered in Code Reviews?"
"Casper Lassenius","What Types of Defects Are Really Discovered in Code Reviews?"
"Greg Franks","Enhanced Modeling and Solution of Layered Queueing Networks"
"Tariq Al-Omari","Enhanced Modeling and Solution of Layered Queueing Networks"
"Murray Woodside","Enhanced Modeling and Solution of Layered Queueing Networks"
"Olivia Das","Enhanced Modeling and Solution of Layered Queueing Networks"
"Salem Derisavi","Enhanced Modeling and Solution of Layered Queueing Networks"
"Giuliano Casale","CoMoM: Efficient Class-Oriented Evaluation of Multiclass Performance Models"
"Laura Carnevali","State-Density Functions over DBM Domains in the Analysis of Non-Markovian Models"
"Leonardo Grassi","State-Density Functions over DBM Domains in the Analysis of Non-Markovian Models"
"Enrico Vicario","State-Density Functions over DBM Domains in the Analysis of Non-Markovian Models"
"Peter Kemper","Automated Trace Analysis of Discrete-Event System Models"
"Carsten Tepper","Automated Trace Analysis of Discrete-Event System Models"
"Gethin Norman","Model Checking Probabilistic and Stochastic Extensions of the π-Calculus"
"Catuscia Palamidessi","Model Checking Probabilistic and Stochastic Extensions of the π-Calculus"
"David Parker","Model Checking Probabilistic and Stochastic Extensions of the π-Calculus"
"Peng Wu","Model Checking Probabilistic and Stochastic Extensions of the π-Calculus"
"Susanna Donatelli","Model Checking Timed and Stochastic Properties with CSL^{TA}"
