author,article
"Laura Dillon","Automatic model generation from documentation for Java API functions"
"Willem Visser","Automatic model generation from documentation for Java API functions"
"Laurie Williams","Automatic model generation from documentation for Java API functions"
"Christoph Treude","Augmenting API documentation with insights from stack overflow"
"Martin P. Robillard","Augmenting API documentation with insights from stack overflow"
"Laura Dillon","Augmenting API documentation with insights from stack overflow"
"Willem Visser","Augmenting API documentation with insights from stack overflow"
"Laurie Williams","Augmenting API documentation with insights from stack overflow"
"Xin Ye","From word embeddings to document similarities for improved information retrieval in software engineering"
"Hui Shen","From word embeddings to document similarities for improved information retrieval in software engineering"
"Xiao Ma","From word embeddings to document similarities for improved information retrieval in software engineering"
"Razvan Bunescu","From word embeddings to document similarities for improved information retrieval in software engineering"
"Chang Liu","From word embeddings to document similarities for improved information retrieval in software engineering"
"Laura Dillon","From word embeddings to document similarities for improved information retrieval in software engineering"
"Willem Visser","From word embeddings to document similarities for improved information retrieval in software engineering"
"Laurie Williams","From word embeddings to document similarities for improved information retrieval in software engineering"
"Tam The Nguyen","Learning API usages from bytecode: a statistical approach"
"Hung Viet Pham","Learning API usages from bytecode: a statistical approach"
"Phong Minh Vu","Learning API usages from bytecode: a statistical approach"
"Tung Thanh Nguyen","Learning API usages from bytecode: a statistical approach"
"Laura Dillon","Learning API usages from bytecode: a statistical approach"
"Willem Visser","Learning API usages from bytecode: a statistical approach"
"Laurie Williams","Learning API usages from bytecode: a statistical approach"
"Baishakhi Ray","On the ""naturalness"" of buggy code"
"Vincent Hellendoorn","On the ""naturalness"" of buggy code"
"Saheel Godhane","On the ""naturalness"" of buggy code"
"Zhaopeng Tu","On the ""naturalness"" of buggy code"
"Alberto Bacchelli","On the ""naturalness"" of buggy code"
"Premkumar Devanbu","On the ""naturalness"" of buggy code"
"Laura Dillon","On the ""naturalness"" of buggy code"
"Willem Visser","On the ""naturalness"" of buggy code"
"Laurie Williams","On the ""naturalness"" of buggy code"
"Willian Oizumi","Code anomalies flock together: exploring code anomaly agglomerations for locating design problems"
"Alessandro Garcia","Code anomalies flock together: exploring code anomaly agglomerations for locating design problems"
"Leonardo da Silva Sousa","Code anomalies flock together: exploring code anomaly agglomerations for locating design problems"
"Bruno Cafeo","Code anomalies flock together: exploring code anomaly agglomerations for locating design problems"
"Yixue Zhao","Code anomalies flock together: exploring code anomaly agglomerations for locating design problems"
"Laura Dillon","Code anomalies flock together: exploring code anomaly agglomerations for locating design problems"
"Willem Visser","Code anomalies flock together: exploring code anomaly agglomerations for locating design problems"
"Laurie Williams","Code anomalies flock together: exploring code anomaly agglomerations for locating design problems"
"Sebastian C. Müller","Using (bio)metrics to predict code quality online"
"Thomas Fritz","Using (bio)metrics to predict code quality online"
"Laura Dillon","Using (bio)metrics to predict code quality online"
"Willem Visser","Using (bio)metrics to predict code quality online"
"Laurie Williams","Using (bio)metrics to predict code quality online"
"Shing-Chi Cheung","CUSTODES: automatic spreadsheet cell clustering and smell detection using strong and weak features"
"Wanjun Chen","CUSTODES: automatic spreadsheet cell clustering and smell detection using strong and weak features"
"Yepang Liu","CUSTODES: automatic spreadsheet cell clustering and smell detection using strong and weak features"
"Chang Xu","CUSTODES: automatic spreadsheet cell clustering and smell detection using strong and weak features"
"Laura Dillon","CUSTODES: automatic spreadsheet cell clustering and smell detection using strong and weak features"
"Willem Visser","CUSTODES: automatic spreadsheet cell clustering and smell detection using strong and weak features"
"Laurie Williams","CUSTODES: automatic spreadsheet cell clustering and smell detection using strong and weak features"
"Martin P. Robillard","Disseminating architectural knowledge on open-source projects: a case study of the book ""architecture of open-source applications"""
"Nenad Medvidović","Disseminating architectural knowledge on open-source projects: a case study of the book ""architecture of open-source applications"""
"Laura Dillon","Disseminating architectural knowledge on open-source projects: a case study of the book ""architecture of open-source applications"""
"Willem Visser","Disseminating architectural knowledge on open-source projects: a case study of the book ""architecture of open-source applications"""
"Laurie Williams","Disseminating architectural knowledge on open-source projects: a case study of the book ""architecture of open-source applications"""
"Lu Xiao","Identifying and quantifying architectural debt"
"Yuanfang Cai","Identifying and quantifying architectural debt"
"Rick Kazman","Identifying and quantifying architectural debt"
"Ran Mo","Identifying and quantifying architectural debt"
"Qiong Feng","Identifying and quantifying architectural debt"
"Laura Dillon","Identifying and quantifying architectural debt"
"Willem Visser","Identifying and quantifying architectural debt"
"Laurie Williams","Identifying and quantifying architectural debt"
"Ran Mo","Decoupling level: a new metric for architectural maintenance complexity"
"Yuanfang Cai","Decoupling level: a new metric for architectural maintenance complexity"
"Rick Kazman","Decoupling level: a new metric for architectural maintenance complexity"
"Lu Xiao","Decoupling level: a new metric for architectural maintenance complexity"
"Qiong Feng","Decoupling level: a new metric for architectural maintenance complexity"
"Laura Dillon","Decoupling level: a new metric for architectural maintenance complexity"
"Willem Visser","Decoupling level: a new metric for architectural maintenance complexity"
"Laurie Williams","Decoupling level: a new metric for architectural maintenance complexity"
"Rahul Gopinath","On the limits of mutation reduction strategies"
"Mohammad Amin Alipour","On the limits of mutation reduction strategies"
"Iftekhar Ahmed","On the limits of mutation reduction strategies"
"Carlos Jensen","On the limits of mutation reduction strategies"
"Alex Groce","On the limits of mutation reduction strategies"
"Laura Dillon","On the limits of mutation reduction strategies"
"Willem Visser","On the limits of mutation reduction strategies"
"Laurie Williams","On the limits of mutation reduction strategies"
"Christopher Henard","Comparing white-box and black-box test prioritization"
"Mike Papadakis","Comparing white-box and black-box test prioritization"
"Mark Harman","Comparing white-box and black-box test prioritization"
"Yue Jia","Comparing white-box and black-box test prioritization"
"Yves Le Traon","Comparing white-box and black-box test prioritization"
"Laura Dillon","Comparing white-box and black-box test prioritization"
"Willem Visser","Comparing white-box and black-box test prioritization"
"Laurie Williams","Comparing white-box and black-box test prioritization"
"Yafeng Lu","How does regression test prioritization perform in real-world software evolution?"
"Yiling Lou","How does regression test prioritization perform in real-world software evolution?"
"Shiyang Cheng","How does regression test prioritization perform in real-world software evolution?"
"Lingming Zhang","How does regression test prioritization perform in real-world software evolution?"
"Dan Hao","How does regression test prioritization perform in real-world software evolution?"
"Yangfan Zhou","How does regression test prioritization perform in real-world software evolution?"
"Lu Zhang","How does regression test prioritization perform in real-world software evolution?"
"Laura Dillon","How does regression test prioritization perform in real-world software evolution?"
"Willem Visser","How does regression test prioritization perform in real-world software evolution?"
"Laurie Williams","How does regression test prioritization perform in real-world software evolution?"
"Sebastiano Panichella","The impact of test case summaries on bug fixing performance: an empirical investigation"
"Annibale Panichella","The impact of test case summaries on bug fixing performance: an empirical investigation"
"Moritz Beller","The impact of test case summaries on bug fixing performance: an empirical investigation"
"Andy Zaidman","The impact of test case summaries on bug fixing performance: an empirical investigation"
"Harald C. Gall","The impact of test case summaries on bug fixing performance: an empirical investigation"
"Laura Dillon","The impact of test case summaries on bug fixing performance: an empirical investigation"
"Willem Visser","The impact of test case summaries on bug fixing performance: an empirical investigation"
"Laurie Williams","The impact of test case summaries on bug fixing performance: an empirical investigation"
"Nariman Mirzaei","Reducing combinatorics in GUI testing of android applications"
"Joshua Garcia","Reducing combinatorics in GUI testing of android applications"
"Hamid Bagheri","Reducing combinatorics in GUI testing of android applications"
"Alireza Sadeghi","Reducing combinatorics in GUI testing of android applications"
"Sam Malek","Reducing combinatorics in GUI testing of android applications"
"Laura Dillon","Reducing combinatorics in GUI testing of android applications"
"Willem Visser","Reducing combinatorics in GUI testing of android applications"
"Laurie Williams","Reducing combinatorics in GUI testing of android applications"
"Zhengrui Qin","MobiPlay: a remote execution based record-and-replay tool for mobile applications"
"Yutao Tang","MobiPlay: a remote execution based record-and-replay tool for mobile applications"
"Ed Novak","MobiPlay: a remote execution based record-and-replay tool for mobile applications"
"Qun Li","MobiPlay: a remote execution based record-and-replay tool for mobile applications"
"Laura Dillon","MobiPlay: a remote execution based record-and-replay tool for mobile applications"
"Willem Visser","MobiPlay: a remote execution based record-and-replay tool for mobile applications"
"Laurie Williams","MobiPlay: a remote execution based record-and-replay tool for mobile applications"
"Tingting Yu","VDTest: an automated framework to support testing for virtual devices"
"Xiao Qu","VDTest: an automated framework to support testing for virtual devices"
"Myra B. Cohen","VDTest: an automated framework to support testing for virtual devices"
"Laura Dillon","VDTest: an automated framework to support testing for virtual devices"
"Willem Visser","VDTest: an automated framework to support testing for virtual devices"
"Laurie Williams","VDTest: an automated framework to support testing for virtual devices"
"Reza Matinnejad","Automated test suite generation for time-continuous simulink models"
"Shiva Nejati","Automated test suite generation for time-continuous simulink models"
"Lionel C. Briand","Automated test suite generation for time-continuous simulink models"
"Thomas Bruckmann","Automated test suite generation for time-continuous simulink models"
"Laura Dillon","Automated test suite generation for time-continuous simulink models"
"Willem Visser","Automated test suite generation for time-continuous simulink models"
"Laurie Williams","Automated test suite generation for time-continuous simulink models"
"Xiao-Yuan Jing","Missing data imputation based on low-rank recovery and semi-supervised regression for software effort estimation"
"Fumin Qi","Missing data imputation based on low-rank recovery and semi-supervised regression for software effort estimation"
"Fei Wu","Missing data imputation based on low-rank recovery and semi-supervised regression for software effort estimation"
"Baowen Xu","Missing data imputation based on low-rank recovery and semi-supervised regression for software effort estimation"
"Laura Dillon","Missing data imputation based on low-rank recovery and semi-supervised regression for software effort estimation"
"Willem Visser","Missing data imputation based on low-rank recovery and semi-supervised regression for software effort estimation"
"Laurie Williams","Missing data imputation based on low-rank recovery and semi-supervised regression for software effort estimation"
"Federica Sarro","Multi-objective software effort estimation"
"Alessio Petrozziello","Multi-objective software effort estimation"
"Mark Harman","Multi-objective software effort estimation"
"Laura Dillon","Multi-objective software effort estimation"
"Willem Visser","Multi-objective software effort estimation"
"Laurie Williams","Multi-objective software effort estimation"
"Shuai Wang","A practical guide to select quality indicators for assessing pareto-based search algorithms in search-based software engineering"
"Shaukat Ali","A practical guide to select quality indicators for assessing pareto-based search algorithms in search-based software engineering"
"Tao Yue","A practical guide to select quality indicators for assessing pareto-based search algorithms in search-based software engineering"
"Yan Li","A practical guide to select quality indicators for assessing pareto-based search algorithms in search-based software engineering"
"Marius Liaaen","A practical guide to select quality indicators for assessing pareto-based search algorithms in search-based software engineering"
"Laura Dillon","A practical guide to select quality indicators for assessing pareto-based search algorithms in search-based software engineering"
"Willem Visser","A practical guide to select quality indicators for assessing pareto-based search algorithms in search-based software engineering"
"Laurie Williams","A practical guide to select quality indicators for assessing pareto-based search algorithms in search-based software engineering"
"Flávio Medeiros","A comparison of 10 sampling algorithms for configurable systems"
"Christian Kästner","A comparison of 10 sampling algorithms for configurable systems"
"Márcio Ribeiro","A comparison of 10 sampling algorithms for configurable systems"
"Rohit Gheyi","A comparison of 10 sampling algorithms for configurable systems"
"Sven Apel","A comparison of 10 sampling algorithms for configurable systems"
"Laura Dillon","A comparison of 10 sampling algorithms for configurable systems"
"Willem Visser","A comparison of 10 sampling algorithms for configurable systems"
"Laurie Williams","A comparison of 10 sampling algorithms for configurable systems"
"Xavier Devroey","Featured model-based mutation analysis"
"Gilles Perrouin","Featured model-based mutation analysis"
"Mike Papadakis","Featured model-based mutation analysis"
"Axel Legay","Featured model-based mutation analysis"
"Pierre-Yves Schobbens","Featured model-based mutation analysis"
"Patrick Heymans","Featured model-based mutation analysis"
"Laura Dillon","Featured model-based mutation analysis"
"Willem Visser","Featured model-based mutation analysis"
"Laurie Williams","Featured model-based mutation analysis"
"Reimar Schröter","Feature-model interfaces: the highway to compositional analyses of highly-configurable systems"
"Sebastian Krieter","Feature-model interfaces: the highway to compositional analyses of highly-configurable systems"
"Thomas Thüm","Feature-model interfaces: the highway to compositional analyses of highly-configurable systems"
"Fabian Benduhn","Feature-model interfaces: the highway to compositional analyses of highly-configurable systems"
"Gunter Saake","Feature-model interfaces: the highway to compositional analyses of highly-configurable systems"
"Laura Dillon","Feature-model interfaces: the highway to compositional analyses of highly-configurable systems"
"Willem Visser","Feature-model interfaces: the highway to compositional analyses of highly-configurable systems"
"Laurie Williams","Feature-model interfaces: the highway to compositional analyses of highly-configurable systems"
"Jean Melo","How does the degree of variability affect bug finding?"
"Claus Brabrand","How does the degree of variability affect bug finding?"
"Andrzej Wąsowski","How does the degree of variability affect bug finding?"
"Laura Dillon","How does the degree of variability affect bug finding?"
"Willem Visser","How does the degree of variability affect bug finding?"
"Laurie Williams","How does the degree of variability affect bug finding?"
"Sergey Mechtaev","Angelix: scalable multiline program patch synthesis via symbolic analysis"
"Jooyong Yi","Angelix: scalable multiline program patch synthesis via symbolic analysis"
"Abhik Roychoudhury","Angelix: scalable multiline program patch synthesis via symbolic analysis"
"Laura Dillon","Angelix: scalable multiline program patch synthesis via symbolic analysis"
"Willem Visser","Angelix: scalable multiline program patch synthesis via symbolic analysis"
"Laurie Williams","Angelix: scalable multiline program patch synthesis via symbolic analysis"
"Fan Long","An analysis of the search spaces for generate and validate patch generation systems"
"Martin Rinard","An analysis of the search spaces for generate and validate patch generation systems"
"Laura Dillon","An analysis of the search spaces for generate and validate patch generation systems"
"Willem Visser","An analysis of the search spaces for generate and validate patch generation systems"
"Laurie Williams","An analysis of the search spaces for generate and validate patch generation systems"
"Yu-Fang Chen","PAC learning-based verification and model synthesis"
"Chiao Hsieh","PAC learning-based verification and model synthesis"
"Ondřej Lengál","PAC learning-based verification and model synthesis"
"Tsung-Ju Lii","PAC learning-based verification and model synthesis"
"Ming-Hsien Tsai","PAC learning-based verification and model synthesis"
"Bow-Yaw Wang","PAC learning-based verification and model synthesis"
"Farn Wang","PAC learning-based verification and model synthesis"
"Laura Dillon","PAC learning-based verification and model synthesis"
"Willem Visser","PAC learning-based verification and model synthesis"
"Laurie Williams","PAC learning-based verification and model synthesis"
"Steven Arzt","StubDroid: automatic inference of precise data-flow summaries for the android framework"
"Eric Bodden","StubDroid: automatic inference of precise data-flow summaries for the android framework"
"Laura Dillon","StubDroid: automatic inference of precise data-flow summaries for the android framework"
"Willem Visser","StubDroid: automatic inference of precise data-flow summaries for the android framework"
"Laurie Williams","StubDroid: automatic inference of precise data-flow summaries for the android framework"
"Michael Coblenz","Exploring language support for immutability"
"Joshua Sunshine","Exploring language support for immutability"
"Jonathan Aldrich","Exploring language support for immutability"
"Brad Myers","Exploring language support for immutability"
"Sam Weber","Exploring language support for immutability"
"Forrest Shull","Exploring language support for immutability"
"Laura Dillon","Exploring language support for immutability"
"Willem Visser","Exploring language support for immutability"
"Laurie Williams","Exploring language support for immutability"
"Diomidis Spinellis","The evolution of C programming practices: a study of the Unix operating system 1973--2015"
"Panos Louridas","The evolution of C programming practices: a study of the Unix operating system 1973--2015"
"Maria Kechagia","The evolution of C programming practices: a study of the Unix operating system 1973--2015"
"Laura Dillon","The evolution of C programming practices: a study of the Unix operating system 1973--2015"
"Willem Visser","The evolution of C programming practices: a study of the Unix operating system 1973--2015"
"Laurie Williams","The evolution of C programming practices: a study of the Unix operating system 1973--2015"
"Phillip Merlin Uesbeck","An empirical study on the impact of C++ lambdas and programmer experience"
"Andreas Stefik","An empirical study on the impact of C++ lambdas and programmer experience"
"Stefan Hanenberg","An empirical study on the impact of C++ lambdas and programmer experience"
"Jan Pedersen","An empirical study on the impact of C++ lambdas and programmer experience"
"Patrick Daleiden","An empirical study on the impact of C++ lambdas and programmer experience"
"Laura Dillon","An empirical study on the impact of C++ lambdas and programmer experience"
"Willem Visser","An empirical study on the impact of C++ lambdas and programmer experience"
"Laurie Williams","An empirical study on the impact of C++ lambdas and programmer experience"
"Nawrin Sultana","Understanding and fixing multiple language interoperability issues: the C/Fortran case"
"Justin Middleton","Understanding and fixing multiple language interoperability issues: the C/Fortran case"
"Jeffrey Overbey","Understanding and fixing multiple language interoperability issues: the C/Fortran case"
"Munawar Hafiz","Understanding and fixing multiple language interoperability issues: the C/Fortran case"
"Laura Dillon","Understanding and fixing multiple language interoperability issues: the C/Fortran case"
"Willem Visser","Understanding and fixing multiple language interoperability issues: the C/Fortran case"
"Laurie Williams","Understanding and fixing multiple language interoperability issues: the C/Fortran case"
"Muhammad Ali Gulzar","BigDebug: debugging primitives for interactive big data processing in spark"
"Matteo Interlandi","BigDebug: debugging primitives for interactive big data processing in spark"
"Seunghyun Yoo","BigDebug: debugging primitives for interactive big data processing in spark"
"Sai Deep Tetali","BigDebug: debugging primitives for interactive big data processing in spark"
"Tyson Condie","BigDebug: debugging primitives for interactive big data processing in spark"
"Todd Millstein","BigDebug: debugging primitives for interactive big data processing in spark"
"Miryung Kim","BigDebug: debugging primitives for interactive big data processing in spark"
"Laura Dillon","BigDebug: debugging primitives for interactive big data processing in spark"
"Willem Visser","BigDebug: debugging primitives for interactive big data processing in spark"
"Laurie Williams","BigDebug: debugging primitives for interactive big data processing in spark"
"Guido Salvaneschi","Debugging for reactive programming"
"Mira Mezini","Debugging for reactive programming"
"Laura Dillon","Debugging for reactive programming"
"Willem Visser","Debugging for reactive programming"
"Laurie Williams","Debugging for reactive programming"
"Xiaoyuan Xie","Revisit of automatic debugging via human focus-tracking analysis"
"Zicong Liu","Revisit of automatic debugging via human focus-tracking analysis"
"Shuo Song","Revisit of automatic debugging via human focus-tracking analysis"
"Zhenyu Chen","Revisit of automatic debugging via human focus-tracking analysis"
"Jifeng Xuan","Revisit of automatic debugging via human focus-tracking analysis"
"Baowen Xu","Revisit of automatic debugging via human focus-tracking analysis"
"Laura Dillon","Revisit of automatic debugging via human focus-tracking analysis"
"Willem Visser","Revisit of automatic debugging via human focus-tracking analysis"
"Laurie Williams","Revisit of automatic debugging via human focus-tracking analysis"
"Weidong Cui","RETracer: triaging crashes by reverse execution from partial memory dumps"
"Marcus Peinado","RETracer: triaging crashes by reverse execution from partial memory dumps"
"Sang Kil Cha","RETracer: triaging crashes by reverse execution from partial memory dumps"
"Yanick Fratantonio","RETracer: triaging crashes by reverse execution from partial memory dumps"
"Vasileios P. Kemerlis","RETracer: triaging crashes by reverse execution from partial memory dumps"
"Laura Dillon","RETracer: triaging crashes by reverse execution from partial memory dumps"
"Willem Visser","RETracer: triaging crashes by reverse execution from partial memory dumps"
"Laurie Williams","RETracer: triaging crashes by reverse execution from partial memory dumps"
"Jonas Eckhardt","Are ""non-functional"" requirements really non-functional?: an investigation of non-functional requirements in practice"
"Andreas Vogelsang","Are ""non-functional"" requirements really non-functional?: an investigation of non-functional requirements in practice"
"Daniel Méndez Fernández","Are ""non-functional"" requirements really non-functional?: an investigation of non-functional requirements in practice"
"Laura Dillon","Are ""non-functional"" requirements really non-functional?: an investigation of non-functional requirements in practice"
"Willem Visser","Are ""non-functional"" requirements really non-functional?: an investigation of non-functional requirements in practice"
"Laurie Williams","Are ""non-functional"" requirements really non-functional?: an investigation of non-functional requirements in practice"
"Preethu Rose Anish","Probing for requirements knowledge to stimulate architectural thinking"
"Balaji Balasubramaniam","Probing for requirements knowledge to stimulate architectural thinking"
"Abhishek Sainani","Probing for requirements knowledge to stimulate architectural thinking"
"Jane Cleland-Huang","Probing for requirements knowledge to stimulate architectural thinking"
"Maya Daneva","Probing for requirements knowledge to stimulate architectural thinking"
"Roel J. Wieringa","Probing for requirements knowledge to stimulate architectural thinking"
"Smita Ghaisas","Probing for requirements knowledge to stimulate architectural thinking"
"Laura Dillon","Probing for requirements knowledge to stimulate architectural thinking"
"Willem Visser","Probing for requirements knowledge to stimulate architectural thinking"
"Laurie Williams","Probing for requirements knowledge to stimulate architectural thinking"
"Dalal Alrajeh","Risk-driven revision of requirements models"
"Axel van Lamsweerde","Risk-driven revision of requirements models"
"Jeff Kramer","Risk-driven revision of requirements models"
"Alessandra Russo","Risk-driven revision of requirements models"
"Sebastian Uchitel","Risk-driven revision of requirements models"
"Laura Dillon","Risk-driven revision of requirements models"
"Willem Visser","Risk-driven revision of requirements models"
"Laurie Williams","Risk-driven revision of requirements models"
"Awais Rashid","Discovering ""unknown known"" security requirements"
"Syed Asad Ali Naqvi","Discovering ""unknown known"" security requirements"
"Rajiv Ramdhany","Discovering ""unknown known"" security requirements"
"Matthew Edwards","Discovering ""unknown known"" security requirements"
"Ruzanna Chitchyan","Discovering ""unknown known"" security requirements"
"M. Ali Babar","Discovering ""unknown known"" security requirements"
"Laura Dillon","Discovering ""unknown known"" security requirements"
"Willem Visser","Discovering ""unknown known"" security requirements"
"Laurie Williams","Discovering ""unknown known"" security requirements"
"Nimrod Busany","Behavioral log analysis with statistical guarantees"
"Shahar Maoz","Behavioral log analysis with statistical guarantees"
"Laura Dillon","Behavioral log analysis with statistical guarantees"
"Willem Visser","Behavioral log analysis with statistical guarantees"
"Laurie Williams","Behavioral log analysis with statistical guarantees"
"Marcello M. Bersani","Efficient large-scale trace checking using mapreduce"
"Domenico Bianculli","Efficient large-scale trace checking using mapreduce"
"Carlo Ghezzi","Efficient large-scale trace checking using mapreduce"
"Srđan Krstić","Efficient large-scale trace checking using mapreduce"
"Pierluigi San Pietro","Efficient large-scale trace checking using mapreduce"
"Laura Dillon","Efficient large-scale trace checking using mapreduce"
"Willem Visser","Efficient large-scale trace checking using mapreduce"
"Laurie Williams","Efficient large-scale trace checking using mapreduce"
"Magnus Madsen","Feedback-directed instrumentation for deployed JavaScript applications"
"Frank Tip","Feedback-directed instrumentation for deployed JavaScript applications"
"Esben Andreasen","Feedback-directed instrumentation for deployed JavaScript applications"
"Koushik Sen","Feedback-directed instrumentation for deployed JavaScript applications"
"Anders Møller","Feedback-directed instrumentation for deployed JavaScript applications"
"Laura Dillon","Feedback-directed instrumentation for deployed JavaScript applications"
"Willem Visser","Feedback-directed instrumentation for deployed JavaScript applications"
"Laurie Williams","Feedback-directed instrumentation for deployed JavaScript applications"
"Tongping Liu","DoubleTake: fast and precise error detection via evidence-based dynamic analysis"
"Charlie Curtsinger","DoubleTake: fast and precise error detection via evidence-based dynamic analysis"
"Emery D. Berger","DoubleTake: fast and precise error detection via evidence-based dynamic analysis"
"Laura Dillon","DoubleTake: fast and precise error detection via evidence-based dynamic analysis"
"Willem Visser","DoubleTake: fast and precise error detection via evidence-based dynamic analysis"
"Laurie Williams","DoubleTake: fast and precise error detection via evidence-based dynamic analysis"
"Konstantin Rubinov","Automated partitioning of android applications for trusted execution environments"
"Lucia Rosculete","Automated partitioning of android applications for trusted execution environments"
"Tulika Mitra","Automated partitioning of android applications for trusted execution environments"
"Abhik Roychoudhury","Automated partitioning of android applications for trusted execution environments"
"Laura Dillon","Automated partitioning of android applications for trusted execution environments"
"Willem Visser","Automated partitioning of android applications for trusted execution environments"
"Laurie Williams","Automated partitioning of android applications for trusted execution environments"
"Sarah Nadi","Jumping through hoops: why do Java developers struggle with cryptography APIs?"
"Stefan Krüger","Jumping through hoops: why do Java developers struggle with cryptography APIs?"
"Mira Mezini","Jumping through hoops: why do Java developers struggle with cryptography APIs?"
"Eric Bodden","Jumping through hoops: why do Java developers struggle with cryptography APIs?"
"Laura Dillon","Jumping through hoops: why do Java developers struggle with cryptography APIs?"
"Willem Visser","Jumping through hoops: why do Java developers struggle with cryptography APIs?"
"Laurie Williams","Jumping through hoops: why do Java developers struggle with cryptography APIs?"
"Joseph P. Near","Finding security bugs in web applications using a catalog of access control patterns"
"Daniel Jackson","Finding security bugs in web applications using a catalog of access control patterns"
"Laura Dillon","Finding security bugs in web applications using a catalog of access control patterns"
"Willem Visser","Finding security bugs in web applications using a catalog of access control patterns"
"Laurie Williams","Finding security bugs in web applications using a catalog of access control patterns"
"Wei You","Reference hijacking: patching, protecting and analyzing on unmodified and non-rooted android devices"
"Bin Liang","Reference hijacking: patching, protecting and analyzing on unmodified and non-rooted android devices"
"Wenchang Shi","Reference hijacking: patching, protecting and analyzing on unmodified and non-rooted android devices"
"Shuyang Zhu","Reference hijacking: patching, protecting and analyzing on unmodified and non-rooted android devices"
"Peng Wang","Reference hijacking: patching, protecting and analyzing on unmodified and non-rooted android devices"
"Sikefu Xie","Reference hijacking: patching, protecting and analyzing on unmodified and non-rooted android devices"
"Xiangyu Zhang","Reference hijacking: patching, protecting and analyzing on unmodified and non-rooted android devices"
"Laura Dillon","Reference hijacking: patching, protecting and analyzing on unmodified and non-rooted android devices"
"Willem Visser","Reference hijacking: patching, protecting and analyzing on unmodified and non-rooted android devices"
"Laurie Williams","Reference hijacking: patching, protecting and analyzing on unmodified and non-rooted android devices"
"Ronnie E. S. Santos","Building a theory of job rotation in software engineering from an instrumental case study"
"Fabio Q. B. da Silva","Building a theory of job rotation in software engineering from an instrumental case study"
"Cleyton V. C. de Magalhães","Building a theory of job rotation in software engineering from an instrumental case study"
"Cleviton V. F. Monteiro","Building a theory of job rotation in software engineering from an instrumental case study"
"Laura Dillon","Building a theory of job rotation in software engineering from an instrumental case study"
"Willem Visser","Building a theory of job rotation in software engineering from an instrumental case study"
"Laurie Williams","Building a theory of job rotation in software engineering from an instrumental case study"
"Julia Rubin","The challenges of staying together while moving fast: an exploratory study"
"Martin Rinard","The challenges of staying together while moving fast: an exploratory study"
"Laura Dillon","The challenges of staying together while moving fast: an exploratory study"
"Willem Visser","The challenges of staying together while moving fast: an exploratory study"
"Laurie Williams","The challenges of staying together while moving fast: an exploratory study"
"Bogdan Vasilescu","The sky is not the limit: multitasking across GitHub projects"
"Kelly Blincoe","The sky is not the limit: multitasking across GitHub projects"
"Qi Xuan","The sky is not the limit: multitasking across GitHub projects"
"Casey Casalnuovo","The sky is not the limit: multitasking across GitHub projects"
"Daniela Damian","The sky is not the limit: multitasking across GitHub projects"
"Premkumar Devanbu","The sky is not the limit: multitasking across GitHub projects"
"Vladimir Filkov","The sky is not the limit: multitasking across GitHub projects"
"Laura Dillon","The sky is not the limit: multitasking across GitHub projects"
"Willem Visser","The sky is not the limit: multitasking across GitHub projects"
"Laurie Williams","The sky is not the limit: multitasking across GitHub projects"
"Peter C. Rigby","Quantifying and mitigating turnover-induced knowledge loss: case studies of chrome and a project at avaya"
"Yue Cai Zhu","Quantifying and mitigating turnover-induced knowledge loss: case studies of chrome and a project at avaya"
"Samuel M. Donadelli","Quantifying and mitigating turnover-induced knowledge loss: case studies of chrome and a project at avaya"
"Audris Mockus","Quantifying and mitigating turnover-induced knowledge loss: case studies of chrome and a project at avaya"
"Laura Dillon","Quantifying and mitigating turnover-induced knowledge loss: case studies of chrome and a project at avaya"
"Willem Visser","Quantifying and mitigating turnover-induced knowledge loss: case studies of chrome and a project at avaya"
"Laurie Williams","Quantifying and mitigating turnover-induced knowledge loss: case studies of chrome and a project at avaya"
"Lutz Prechelt","Quality experience: a grounded theory of successful agile projects without dedicated testers"
"Holger Schmeisky","Quality experience: a grounded theory of successful agile projects without dedicated testers"
"Franz Zieris","Quality experience: a grounded theory of successful agile projects without dedicated testers"
"Laura Dillon","Quality experience: a grounded theory of successful agile projects without dedicated testers"
"Willem Visser","Quality experience: a grounded theory of successful agile projects without dedicated testers"
"Laurie Williams","Quality experience: a grounded theory of successful agile projects without dedicated testers"
"Oleksii Kononenko","Code review quality: how developers see it"
"Olga Baysal","Code review quality: how developers see it"
"Michael W. Godfrey","Code review quality: how developers see it"
"Laura Dillon","Code review quality: how developers see it"
"Willem Visser","Code review quality: how developers see it"
"Laurie Williams","Code review quality: how developers see it"
"Patanamon Thongtanunam","Revisiting code ownership and its relationship with software quality in the scope of modern code review"
"Shane McIntosh","Revisiting code ownership and its relationship with software quality in the scope of modern code review"
"Ahmed E. Hassan","Revisiting code ownership and its relationship with software quality in the scope of modern code review"
"Hajimu Iida","Revisiting code ownership and its relationship with software quality in the scope of modern code review"
"Laura Dillon","Revisiting code ownership and its relationship with software quality in the scope of modern code review"
"Willem Visser","Revisiting code ownership and its relationship with software quality in the scope of modern code review"
"Laurie Williams","Revisiting code ownership and its relationship with software quality in the scope of modern code review"
"Hao Sun","IntEQ: recognizing benign integer overflows via equivalence checking across multiple precisions"
"Xiangyu Zhang","IntEQ: recognizing benign integer overflows via equivalence checking across multiple precisions"
"Yunhui Zheng","IntEQ: recognizing benign integer overflows via equivalence checking across multiple precisions"
