name
"Jo E. Hannay"
"Erik Arisholm"
"Harald Engvik"
"Dag I.K. Sjoberg"
"Xun Yuan"
"Atif M. Memon"
"Filippo Ricca"
"Massimiliano Di Penta"
"Marco Torchiano"
"Paolo Tonella"
"Mariano Ceccato"
"Ivano Malavolta"
"Damien Tamburri"
"Jaiprakash T. Lallchandani"
"R. Mall"
"Yonghee Shin"
"Andrew Meneely"
"Laurie Williams"
"Jason A. Osborne"
"Jehad Al Dallal"
"Xiao Liu"
"Yun Yang"
"Yuanchun Jiang"
"Jinjun Chen"
"Lorenzo Ridi"
"Gerard J. Holzmann"
"Rajeev Joshi"
"Alex Groce"
"Loic Pauleve"
"Morgan Magnin"
"Olivier Roux"
"Giulio Concas"
"Michele Marchesi"
"Alessandro Murgia"
"Roberto Tonelli"
"Ivana Turnu"
"Ivica Crnkovic"
"Severine Sentilles"
"A. Vulgarakis"
"Michel R.V. Chaudron"
"Xin Feng"
"David Lorge Parnas"
"T.H. Tse"
"Tony O'Callaghan"
"Tak Wah Kwan"
"Hareton K.N. Leung"
"Yue Jia"
"Haibo Chen"
"Jie Yu"
"Chengqun Hang"
"Binyu Zang"
"Pen-Chung Yew"
"Magne Jorgensen"
"Stein Grimstad"
"Peter Bishop"
"Robin Bloomfield"
"Bev Littlewood"
"Andrey Povyakalo"
"David Wright"
"Diwakar Krishnamurthy"
"Jerry Rolia"
"Min Xu"
"Mikhail Perepletchikov"
"Caspar Ryan"
"Mingsheng Ying"
"Yuan Feng"
"Leonardo Mariani"
"Fabrizio Pastore"
"Mauro Pezze"
"Norsaremah Salleh"
"John Grundy"
"Alexandre Bergel"
"William Harrison"
"Siobhan Clarke"
"Xavier Amatriain"
"Pau Arumi"
"Myra B. Cohen"
"Laurent Burgy"
"Laurent Reveillere"
"Julia Lawall"
"Gilles Muller"
"Irwin Kwan"
"Daniela Damian"
"Cleidson R. B. de Souza"
"David F. Redmiles"
"Qinbao Song"
"Zihan Jia"
"Shi Ying"
"Jin Liu"
"Pratyusa K. Manadhata"
"Jeannette M. Wing"
"Radu Calinescu"
"Lars Grunske"
"Marta Kwiatkowska"
"Raffaela Mirandola"
"Giordano Tamburrelli"
"Matthias Weidlich"
"Jan Mendling"
"Mathias Weske"
"Dongsun Kim"
"Xinming Wang"
"Sunghun Kim"
"Andreas Zeller"
"Sooyong Park"
"Moonzoo Kim"
"Yunho Kim"
"Hotae Kim"
"Samar Mouchawrab"
"Andrea De Lucia"
"Rocco Oliveto"
"Luciano Baresi"
"Carlo Ghezzi"
"Luca Mottola"
"Sam Guinea"
"Kata Praditwong"
"Xin Yao"
"Oscar Dieste"
"Sivaji Sundaramurthy"
"Martin P. Ward"
"Hussein Zedan"
"Renee C. Bryce"
"Sreedevi Sampath"
"Salvatore Distefano"
"Marco Scarpa"
"Antonio Puliafito"
"James H. Andrews"
"Tim Menzies"
"Felix C.H. Li"
"Lutz Prechelt"
"T.Y. Chen"
"Zhi Quan Zhou"
"YoungMin Kwon"
"Gul Agha"
"Max Schäfer"
"Andreas Thies"
"Friedrich Steimann"
"Hong Mei"
"Dan Hao"
"Lingming Zhang"
"Lu Zhang"
"Ji Zhou"
"Tracy Hall"
"Sarah Beecham"
"David Bowes"
"David Gray"
"Steve Counsell"
"Luis Búrdalo"
"Andrés Terrasa"
"Agustín Espinosa"
"Ana García-Fornes"
"Franz Brosch"
"Heiko Koziolek"
"Barbora Buhnova"
"Christopher M. Hayden"
"Edward K. Smith"
"Eric A. Hardisty"
"Michael Hicks"
"Jeffrey S. Foster"
"Shiva Nejati"
"Mehrdad Sabetzadeh"
"Steve Easterbrook"
"N. Ilker Altintas"
"Semih Cetin"
"Ali H. Dogru"
"Halit Oguztuzun"
"Ekrem Kocaguneli"
"Jacky W. Keung"
"Emerson Murphy-Hill"
"Andrew P. Black"
"Markus Michael Geipel"
"Frank Schweitzer"
"Damien Cassou"
"Julien Bruneau"
"Charles Consel"
"Emilie Balland"
"Abbas Heydarnoori"
"Walter Binder"
"Thiago Tonelli Bartolomei"
"Kenneth Lind"
"Rogardt Heldal"
"Hoan Anh Nguyen"
"Tung Thanh Nguyen"
"Nam H. Pham"
"Jafar Al-Kofahi"
"Tien N. Nguyen"
"Frank Zickert"
"Roman Beck"
"Ningfang Mi"
"Ludmila Cherkasova"
"Evgenia Smirni"
"Narayan Ramasubbu"
"Jeff Hong"
"Collin McMillan"
"Mark Grechanik"
"Denys Poshyvanyk"
"Chen Fu"
"Qing Xie"
"Andrea Arcuri"
"Lionel Briand"
"Shaoying Liu"
"Yuting Chen"
"Fumiko Nagoya"
"John A. McDermid"
"Charles Zhang"
"Hans-Arno Jacobsen"
"Valeria Cardellini"
"Emiliano Casalicchio"
"Vincenzo Grassi"
"Stefano Iannucci"
"Francesco Lo Presti"
"William N. Sumner"
"Yunhui Zheng"
"Dasarath Weeratunge"
"John Rushby"
"Jifeng Xuan"
"He Jiang"
"Zhilei Ren"
"Zhongxuan Luo"
"Cheng Zhang"
"David Budgen"
"Marco Tulio Valente"
"Virgilio Borges"
"Leonardo Passos"
"Radu Mateescu"
"Pascal Poizat"
"Gwen Salaün"
"Amir Kalbasi"
"Tsong Yueh Chen"
"Pak-Lok Poon"
"Sau-Fun Tang"
"Sandra A. Slaughter"
"Oliver Moser"
"Florian Rosenberg"
"Schahram Dustdar"
"Shan Lu"
"Soyeon Park"
"Yuanyuan Zhou"
"Mirco Tribastone"
"Jie Ding"
"Stephen Gilmore"
"Jane Hillston"
"Gabriel Parmer"
"Richard West"
"Anita Sarma"
"André van der Hoek"
"Peng Liu"
"Richard Berntsson Svensson"
"Tony Gorschek"
"Björn Regnell"
"Richard Torkar"
"Soroush Akhlaghi"
"Lucas Cordeiro"
"Bernd Fischer"
"Joao Marques-Silva"
"Antonio Coronato"
"Giuseppe De Pietro"
"Felix Cuadrado"
"Juan C. Duenas"
"Rodrigo Garcia-Carmona"
"Jonalan Brickey"
"Steven Walczak"
"Tony Burgess"
"Jerod W. Wilkerson"
"Jay F. Nunamaker"
"Rick Mercer"
"Stephen Dawson"
"David Rothlisberger"
"Marcel Harry"
"Philippe Moret"
"Danilo Ansaloni"
"Ivan Di Pietro"
"Francesco Pagliarecci"
"Luca Spalazzi"
"Vasilios Andrikopoulos"
"Salima Benbernou"
"Michael P. Papazoglou"
"Robert M. Hierons"
"Raffi Khatchadourian"
"Phil Greenwood"
"Awais Rashid"
"Guoqing Xu"
"Wei Li"
"Adrian Lienhard"
"Tudor Girba"
"Oscar Nierstrasz"
"Soo Ling Lim"
"Anthony Finkelstein"
"Valentin Dallmeier"
"Nikolai Knopp"
"Christoph Mallon"
"Gordon Fraser"
"Sebastian Hack"
"Muhammad Zohaib Iqbal"
"Taeho Kwon"
"Zhendong Su"
"Marco Pistoia"
"Arun Sen"
"K. Ramamurthy"
"Atish P. Sinha"
"Marwa Shousha"
"Karel Dejaeger"
"Wouter Verbeke"
"David Martens"
"Bart Baesens"
"Michael Unterkalmsteiner"
"A.K.M. Moinul Islam"
"Chow Kian Cheng"
"Ayse Bener"
"Jose L. Salmeron"
"Cristina Lopez"
"Kiran Lakhotia"
"Youssef Hassoun"
"Joachim Wegener"
"Fabio A. Schreiber"
"Romolo Camplani"
"Marco Fortunato"
"Marco Marelli"
"Guido Rota"
"Chris Parnin"
"Christoph Treude"
"Ali Mesbah"
"Danny Roest"
"Claire Le Goues"
"ThanhVu Nguyen"
"Stephanie Forrest"
"Westley Weimer"
"Rodolfo Toledo"
"Angel Nunez"
"Eric Tanter"
"Jacques Noye"
"Michael Mortensen"
"Sudipto Ghosh"
"James Bieman"
"Guido de Caso"
"Victor Braberman"
"Diego Garbervetsky"
"Uzma Raja"
"Marietta J. Tretter"
"Paul C. Van Oorschot"
"Glenn Wurster"
"Hui Liu"
"Zhiyi Ma"
"Weizhong Shao"
"Zhendong Niu"
"Thorsten Berger"
"Steven She"
"Rafael Lotufo"
"Andrzej Wasowski"
"Kathryn T. Stolee"
"Josip Maras"
"Maja Stula"
"Jan Carlson"
"Adam Brady"
"Jacky Keung"
"Jairus Hihn"
"Steven Williams"
"Oussama El-Rawas"
"Deshan Cooray"
"Ehsan Kouroshfar"
"Sam Malek"
"Roshanak Roshandel"
"Negar Hariri"
"Carlos Castro-Herrera"
"Mehdi Mirakhorli"
"Jane Cleland-Huang"
"Bamshad Mobasher"
"Gwanhoo Lee"
"J. Alberto Espinosa"
"William H. DeLone"
"Naeem Esfahani"
"Ahmed Elkhodary"
"Norhayati Mohd Ali"
"John Hosking"
"Alexander Reder"
"Huo Yan Chen"
"Sriram Kailasam"
"Nathan Gnanasambandam"
"Janakiram Dharanipragada"
"Naveen Sharma"
"Laura Carvajal"
"Ana M. Moreno"
"María-Isabel Sánchez-Segura"
"Ahmed Seffah"
"Yida Tao"
"Renée Bryce"
"Akito Monden"
"Takuma Hayashi"
"Shoji Shinoda"
"Kumiko Shirai"
"Junichi Yoshida"
"Yuriy Brun"
"Reid Holmes"
"Michael D. Ernst"
"David Notkin"
"David Basin"
"Matus Harvan"
"Felix Klaedtke"
"Eugen Zalinescu"
"Stephen W. Thomas"
"Meiyappan Nagappan"
"Dorothea Blostein"
"Ahmed E. Hassan"
"Dragan Milicev"
"Zarko Mijailovic"
"Zhongbin Sun"
"Carolyn Mair"
"Wilkerson L. Andrade"
"Patrícia D.L. Machado"
"Lin Padgham"
"Zhiyong Zhang"
"John Thangarajah"
"Tim Miller"
"Hewijin Christine Jiau"
"Lee Wei Mar"
"Jinghong Cox Chen"
"Walid Maalej"
"Martin P. Robillard"
"Juan P. Galeotti"
"Nicolás Rosner"
"Carlos G. López Pombo"
"Marcelo F. Frias"
"Yann Moffett"
"Juergen Dingel"
"Alain Beaulieu"
"David Cok"
"Ray Madachy"
"Fayola Peters"
"Liang Gong"
"Hongyu Zhang"
"Andreas Classen"
"Maxime Cordy"
"Pierre-Yves Schobbens"
"Patrick Heymans"
"Segla Kpodjedo"
"Philippe Galinier"
"Giuliano Antoniol"
"Yann-Gaël Guéhéneuc"
"Xue Guo"
"Michael Pradel"
"Thomas R. Gross"
"Aiko Yamashita"
"Tore Dybå"
"Nikola Janevski"
"Nuria Torrado"
"Michael P. Wiper"
"Rosa E. Lillo"
"Kelly Androutsopoulos"
"David Clark"
"Zheng Li"
"Jinkyu Lee"
"Insik Shin"
"Jens Brandt"
"Mike Gemünde"
"Klaus Schneider"
"Sandeep K. Shukla"
"Jean-Pierre Talpin"
"Enrico di Bella"
"Ilenia Fronza"
"Nattakarn Phaphoom"
"Alberto Sillitti"
"Giancarlo Succi"
"James Dooley"
"Igor Siveroni"
"German Emir Sibay"
"Jeff Kramer"
"O. Pearl Brereton"
"Yang Liu"
"Wei Chen"
"Yanhong A. Liu"
"Jun Sun"
"Shao Jie Zhang"
"Jin Song Dong"
